Asset_ID,Asset_XCords,Asset_YCords,latitude,longitude
1,520483,191400,51.60855241424845,-0.2615022490530431
2,520436,190834,51.60347572550688,-0.2623748524292874
3,528488,191596,51.60854577001858,-0.1458934897582879
4,525349,190907,51.603060734894726,-0.1914454168523656
5,522256,194715,51.63796254811815,-0.2347555199071381
6,525283,195875,51.64772177085543,-0.1906225753336784
7,527155,195393,51.64297040638516,-0.1637555433784852
8,527169,195393,51.64296724378908,-0.1635533275509887
9,528216,192936,51.62064975085977,-0.149329486109906
10,526831,187556,51.5726146754042,-0.1712677234990604
11,524100,191421,51.60795634997074,-0.2092888253593741
12,522605,187603,51.573971031275526,-0.2321992660684129
13,522595,187610,51.574036113302334,-0.232341052099171
14,521301,191986,51.61364339835752,-0.2494928538331622
15,521591,192185,51.61536932600461,-0.2452376358260236
16,521349,191739,51.61141325335095,-0.2488853857500682
17,521537,191563,51.60979101534478,-0.2462326357687833
18,521552,191573,51.609877651248034,-0.2460126602499802
19,520299,190713,51.60241752948546,-0.2643935341154456
20,526282,191772,51.61062603856761,-0.1776696260312149
21,527213,195325,51.64234621185136,-0.1629424914571602
22,527217,195304,51.64215658889057,-0.1628923440559595
23,527208,195334,51.64242822133336,-0.1630114415568511
24,527244,195220,51.64139561056231,-0.162532880163014
25,523377,187304,51.57111565775467,-0.2211699328667169
26,523318,187078,51.56909748538783,-0.222100051767866
27,528067,191413,51.606997040184325,-0.1520365463299473
28,528070,191429,51.60714014442049,-0.1519874101869498
29,523572,188036,51.57765147772728,-0.2181004649803886
30,524003,185868,51.55807314976416,-0.2126481359181594
31,524013,185893,51.558295628368086,-0.212495152315055
32,520294,190738,51.60264327586408,-0.2644571272044
33,526938,189073,51.5862235156864,-0.1691767870986304
34,526924,189072,51.58621767941912,-0.1693791127850564
35,524880,195594,51.645286048046216,-0.1965444284509371
36,527124,195385,51.64290551503904,-0.1642062109216811
37,525069,186180,51.56064194858314,-0.1971683378772464
38,525157,187419,51.5717572164785,-0.1954587373127495
39,525160,187451,51.57204413163365,-0.1954040835515065
40,524679,196327,51.65191792420015,-0.1991868493931603
41,523285,189465,51.590556685314894,-0.221738766515041
42,522789,196863,51.65715047921877,-0.2263041848537614
43,522802,187072,51.5691560683984,-0.2295434229183603
44,522829,187089,51.56930297320414,-0.2291481164580153
45,520831,191655,51.61076963459519,-0.2563914815781832
48,525068,187459,51.57213642304502,-0.1967280405068941
49,525965,195174,51.64126986541413,-0.1810227864419933
50,525950,195215,51.64164167679897,-0.1812246971262978
51,524546,197077,51.65868746722558,-0.200841420240269
52,519498,192173,51.61570922938549,-0.2754563924960927
53,524744,190406,51.598692516939415,-0.2003545463817808
54,524017,189585,51.59147462837727,-0.2111352855362466
55,525328,190750,51.60165447253824,-0.1918045290688219
56,525361,190724,51.601413477848,-0.1913375869114327
57,526393,192018,51.61281189122459,-0.1759788538579569
58,526548,190921,51.60291866436401,-0.1741370808087184
59,526599,190653,51.60049876826617,-0.1734977261074514
60,526603,190581,51.59985082494162,-0.1734659664749051
61,526544,190859,51.60236238459884,-0.1742171558067164
62,526343,192224,51.61467437043903,-0.176626392028066
63,526635,190551,51.59957403602064,-0.1730150145288299
64,526323,194391,51.63415306621687,-0.1761343248593291
65,526325,194380,51.63405376385791,-0.1761094078622793
66,526336,194310,51.63342222714377,-0.1759757912190271
67,526347,194248,51.632862583839184,-0.1758392937243223
68,526379,194156,51.63202862694772,-0.1754103634526629
69,526376,194104,51.63156199187888,-0.175472436719426
70,526404,194053,51.63109738610581,-0.1750864983337808
71,524614,196444,51.652983775943326,-0.2000842605212349
72,524594,196458,51.653114019627786,-0.2003682264571902
73,524478,196801,51.65622216244842,-0.2019221485675582
74,524604,196452,51.65305788465855,-0.2002258873024197
75,519418,191383,51.60862628455316,-0.2768801672177285
76,520519,189945,51.595468395065794,-0.2614821175328698
77,520801,189592,51.59223558631735,-0.2575343608213122
78,520895,189490,51.59129875345049,-0.2562131743512114
79,520909,189446,51.59090031735122,-0.2560263219404718
80,520959,189413,51.590593019810086,-0.2553162748837621
81,526295,191993,51.61260919484074,-0.1774024365005479
82,528428,191604,51.60863133816264,-0.1467565373450434
83,521556,190593,51.60106944467282,-0.2462943122851524
84,521478,190595,51.601104231218585,-0.2474192656605775
85,521402,190586,51.601039718179535,-0.2485191619199121
86,521455,190582,51.60099235434655,-0.2477556842761571
87,521476,190581,51.6009788427799,-0.2474529723633445
88,526207,192353,51.61586413702173,-0.178543157208958
89,526265,192405,51.61631845303132,-0.1776871804243516
90,526200,190280,51.597236161466334,-0.1793896094032868
91,526210,190291,51.59733277760769,-0.1792413598368955
92,524711,192367,51.61632305008626,-0.2001338995646159
93,520311,190698,51.60228016100988,-0.2642254917550908
94,522845,194835,51.63891277736927,-0.226206568510181
95,524644,196568,51.65409149301106,-0.1996066795195617
96,525468,191598,51.60924414609724,-0.189481044409885
97,526385,192048,51.61308328742013,-0.1760835228382009
98,526660,193987,51.63044674600494,-0.1714136372866644
99,528104,193159,51.62267923972974,-0.1508649397197072
100,528646,191603,51.608572633530414,-0.14361052507655
101,528178,191337,51.606288825711125,-0.1504622992501272
102,528621,194232,51.63220399189815,-0.1430071016556384
103,522232,187921,51.576909842328966,-0.237468378554392
104,528701,191769,51.6100518470044,-0.1427558322873573
105,521959,188083,51.57842482615604,-0.2413498355030759
106,523576,187432,51.572222455447495,-0.2182550481032004
107,522474,187401,51.57218408801677,-0.2341589876566062
108,523447,187988,51.57724746376535,-0.2199202843871431
109,522860,191426,51.60827294662879,-0.2271844316908333
110,519393,191909,51.613358861154566,-0.2770620416597242
111,524839,189737,51.592659272881846,-0.1992214868329189
112,521089,196593,51.65509241531823,-0.2509611561524815
113,522959,195662,51.646320077327246,-0.2242697126094652
114,522776,189180,51.588106419617496,-0.2291821499394887
115,519251,191607,51.610674783852446,-0.2792145224137164
116,519474,192069,51.61477964849099,-0.2758382809907388
117,519413,191876,51.61305804523923,-0.2767845639522614
118,525514,195796,51.64696035154277,-0.1873139389422637
119,526338,196124,51.6497236236071,-0.1752925993416953
120,522164,188224,51.579647657108936,-0.2383438921768938
121,526483,191397,51.60721093926858,-0.1749035915394642
122,522979,190371,51.59876572008724,-0.2258364492371798
123,523087,187662,51.57439633905452,-0.2252269160618043
124,523003,187460,51.572599273027095,-0.226509084606184
125,523035,187456,51.57255634926346,-0.2260489746030956
126,523398,187654,51.57425652126353,-0.220744262525755
127,523600,187884,51.576279322051086,-0.2177500388283813
128,523616,187924,51.57663529674245,-0.2175052026035973
129,523626,187940,51.57677689772333,-0.2173553426977647
130,523637,187959,51.576945240352174,-0.2171900033831932
131,526783,189072,51.58624938978601,-0.1714131851589566
132,525061,193517,51.62658030776262,-0.194671242550344
133,525067,193851,51.62958056640224,-0.1944654403478697
134,525042,193638,51.62767192921267,-0.1949024235499758
135,525087,193403,51.62555003891898,-0.1943365036660985
136,524216,190390,51.59866530030633,-0.2079793944533831
